순번,설치주소,설치위치,설치년도,설치형상,관리부서
34,충청남도 천안시 동남구 북면 대평리 196-3,관평2리마을회관,2008,팔각정자,정원녹지과
35,충청남도 천안시 동남구 수신면 속창리 54-6,수신면주민자치센터,2008,사각정자,정원녹지과
36,충청남도 천안시 동남구 병천면 관성리 744-4,관성2리마을회관,2008,사각정자,정원녹지과
37,충청남도 천안시 동남구 병천면 관성리 205,관성3리마을회관,2008,사각정자,정원녹지과
38,충청남도 천안시 동남구 동면 구도리 165-2,보호수 옆,2008,사각정자,정원녹지과
39,충청남도 천안시 서북구 성환읍 성환리 406,창환주택 단지 안,2009,육각정자,정원녹지과
40,충청남도 천안시 서북구 성거읍 소우리 6-2,농로옆(명우리길),2009,사각정자,정원녹지과
41,충청남도 천안시 서북구 입장면 가산리 331-3,가산1리마을회관,2009,사각정자,정원녹지과
42,충청남도 천안시 동남구 목천읍 도장리 349-3,도장초등학교 옆,2009,사각정자,정원녹지과
43,충청남도 천안시 동남구 풍세면 보성리 347-4,보성2구 영성경로당 옆,2009,육각정자,정원녹지과
44,충청남도 천안시 동남구 성남면 신사리 248-6,신사2리경로회관,2009,사각정자,정원녹지과
45,충청남도 천안시 동남구 병천면 도원리 608-5,도원1리 경로당,2009,사각정자,정원녹지과
46,충청남도 천안시 동남구 동면 죽계리 340-7,죽계2리경로당,2009,사각정자,정원녹지과
47,충청남도 천안시 동남구 동면 죽계리 477,죽계1리노인회관,2009,사각정자,정원녹지과
48,충청남도 천안시 서북구 성환읍 신방리 293-12,신방2리경로당,2010,사각정자,정원녹지과
49,충청남도 천안시 서북구 성환읍 수향리 290,수향1리경로회관,2010,사각정자,정원녹지과
50,충청남도 천안시 서북구 성환읍 양령리 461-6,양령2리마을회관,2010,사각정자,정원녹지과
51,충청남도 천안시 서북구 성거읍 석교리 179-2,농로옆(석교리 25-1 옆),2010,사각정자,정원녹지과
52,충청남도 천안시 서북구 성거읍 소우리 73-3,마을쉼터(느티나무 옆),2010,사각정자,정원녹지과
53,충청남도 천안시 서북구 성거읍 천흥리 533-34,느티나무 옆,2010,사각정자,정원녹지과
54,충청남도 천안시 서북구 직산읍 판정리 351-27,판정2리경로당,2010,사각정자,정원녹지과
55,충청남도 천안시 서북구 직산읍 마정리 248-2,미륵산마을회관,2010,팔각정자,정원녹지과
56,충청남도 천안시 서북구 입장면 유리 257-5 ,유리1구복지회관,2010,사각정자,정원녹지과
57,충청남도 천안시 동남구 목천읍 동평리 230,동평1리 경로당(동평리 105 옆),2010,사각정자,정원녹지과
58,충청남도 천안시 동남구 목천읍 삼성리 115,삼성1리 마을회관,2010,사각정자,정원녹지과
59,충청남도 천안시 동남구 광덕면 신흥리 368-3,신흥1리 노인회관,2010,사각정자,정원녹지과
60,충청남도 천안시 동남구 광덕면 원덕리 440-1,원덕1리마을회관,2010,사각정자,정원녹지과
61,충청남도 천안시 동남구 북면 은지리 18-1,은지2리 마을회관,2010,사각정자,정원녹지과
62,충청남도 천안시 동남구 북면 대평리 496-6,대평1리경로당 옆,2010,사각정자,정원녹지과
63,충청남도 천안시 동남구 성남면 신덕리 245,도로 옆,2010,사각정자,정원녹지과
64,충청남도 천안시 동남구 성남면 신덕리 517,신덕3리새말경로회관,2010,사각정자,정원녹지과
65,충청남도 천안시 동남구 수신면 해정리 454-3,희망공원(수신면),2010,사각정자,정원녹지과
66,충청남도 천안시 동남구 수신면 해정리 331,엄정락노인정(해정1리경로당),2010,사각정자,정원녹지과
67,충청남도 천안시 동남구 병천면 송정리 124-16,송정1리 경로당,2010,사각정자,정원녹지과
68,충청남도 천안시 동남구 동면 광덕리 산15,보호수 옆,2010,사각정자,정원녹지과
69,충청남도 천안시 동남구 동면 죽계리 94-3,마을길 옆,2010,사각정자,정원녹지과
70,충청남도 천안시 서북구 부대동 120,부대동 성당(보호수),2010,사각정자,정원녹지과
71,충청남도 천안시 서북구 성거읍 요방리 207-4,오승빌라 뒤,2011,사각정자,정원녹지과
72,충청남도 천안시 서북구 직산읍 신갈리 178-1,갈미쉼터,2011,사각정자,정원녹지과
73,충청남도 천안시 서북구 입장면 신덕리 200-21,입장연합아파트1동 옆,2011,사각정자,정원녹지과
74,충청남도 천안시 동남구 목천읍 교촌리 123,교촌2리 경로당 앞,2011,사각정자,정원녹지과
75,충청남도 천안시 동남구 북면 사담리 426,사담리 273-3 옆,2011,사각정자,정원녹지과
76,충청남도 천안시 동남구 성남면 화성리 441-3,화성2리경로회관,2011,사각정자,정원녹지과
77,충청남도 천안시 동남구 수신면 신풍리 106-5,신풍1리마을회관,2011,사각정자,정원녹지과
78,충청남도 천안시 동남구 수신면 신풍리 416-10,신풍2리경로당(416-9),2011,사각정자,정원녹지과
79,충청남도 천안시 동남구 동면 장송리 292,안동김씨 기적비,2011,사각정자,정원녹지과
80,충청남도 천안시 서북구 성환읍 매주리 328,매주2리경로당,2012,사각정자,정원녹지과
81,충청남도 천안시 서북구 직산읍 자은가리 39-1,자은가리노인회관,2012,사각정자,정원녹지과
82,충청남도 천안시 동남구 목천읍 천정리 산3-1,천정2리마을회관옆(219-1),2012,사각정자,정원녹지과
83,충청남도 천안시 동남구 풍세면 남관리 650-24,"보호수 옆(448-3 옆, 남관3리경로당인근)",2012,사각정자,정원녹지과
84,충청남도 천안시 동남구 북면 운용리 279-4,운용리경로당(277-5) 인근,2012,사각정자,정원녹지과
85,충청남도 천안시 서북구 성환읍 매주리 477-4,도로변(연암율금로),2014,육각정자,정원녹지과
86,충청남도 천안시 서북구 성환읍 신가리 340-3,신가1리마을회관,2014,육각정자,정원녹지과
87,충청남도 천안시 서북구 입장면 호당리 235-3,호당2리마을회관,2014,사각정자,정원녹지과
88,충청남도 천안시 서북구 입장면 독정리 82-22  ,독정2리 마을회관,2014,사각정자,정원녹지과
89,충청남도 천안시 동남구 목천읍 교천리 240-3,교천리 노인회관 옥상,2014,사각정자,정원녹지과
90,충청남도 천안시 동남구 북면 사담리 181-1,농로 옆,2014,사각정자,정원녹지과
91,충청남도 천안시 동남구 북면 납안리 328,납안2리경로당,2014,사각정자,정원녹지과
92,충청남도 천안시 동남구 성남면 봉양리 251,비조재노인회관(23-3) 옆,2014,사각정자,정원녹지과
93,충청남도 천안시 동남구 병천면 가전리 589,가전1리경로당,2014,사각정자,정원녹지과
94,충청남도 천안시 동남구 동면 송연리 528-3,송연1리마을회관,2014,육각정자,정원녹지과
95,충청남도 천안시 서북구 입장면 도림리 64-5,도림1리 경로당,2015,육각정자,정원녹지과
96,충청남도 천안시 동남구 목천읍 동리 115-6,동리 경로당,2015,팔각정자,정원녹지과
97,충청남도 천안시 동남구 병천면 가전리 190-1,가암마을회관,2015,육각정자,정원녹지과
98,충청남도 천안시 서북구 성환읍 신가리 113-85,노인회관 옆,2016,육각정자,정원녹지과
99,충청남도 천안시 서북구 성환읍 신가리 386-29,신가2리 복지회관,2016,육각정자,정원녹지과
100,충청남도 천안시 서북구 성거읍 저리 1-3,청호8차 포도마을 104동 놀이터 옆,2016,육각정자,정원녹지과
101,충청남도 천안시 서북구 직산읍 군동리 39,희홍밸러뷰아파트 106동 앞,2016,사각정자,정원녹지과
102,충청남도 천안시 서북구 직산읍 삼은리 74-3,세광엔리치빌2차아파트,2016,육각정자,정원녹지과
103,충청남도 천안시 서북구 직산읍 부송리 133-1,부송2리마을회관 앞,2016,육각정자,정원녹지과
104,충청남도 천안시 서북구 직산읍 군서리 8-11 ,농로옆(직산안길),2016,사각정자,정원녹지과
105,충청남도 천안시 서북구 입장면 연곡리 96-3,연곡2리마을회관 앞,2016,육각정자,정원녹지과
106,충청남도 천안시 동남구 동면 송연리 259-4,송연1리마을회관,2016,육각정자,정원녹지과
107,충청남도 천안시 동남구 유량동 230-1,천안향교 앞,2016,사각정자,정원녹지과
108,충청남도 천안시 서북구 입장면 효계리 4-6 ,효계1리마을회관,2017,육각정자,정원녹지과
109,충청남도 천안시 동남구 목천읍 교천리 18,노인회관 뒤 60m,2017,사각정자,정원녹지과
110,충청남도 천안시 동남구 북면 사담리 276-1,사담2리 경로당,2017,육각정자,정원녹지과
111,충청남도 천안시 동남구 동면 구도리 113-1,구도2리 마을회관,2017,육각정자,정원녹지과
112,충청남도 천안시 서북구 쌍용동 780,시영2차아파트 어린이집 뒤 ,2017,사각정자,정원녹지과
113,충청남도 천안시 동남구 구룡동 599-1,구룡2리경로당,2017,육각정자,정원녹지과
114,충청남도 천안시 서북구 성환읍 왕림리 104-12,왕림3리 노인회관,2018,사각정자,정원녹지과
115,충청남도 천안시 동남구 목천읍 응원리 222,응원2리 마을회관,2018,사각정자,정원녹지과
116,충청남도 천안시 동남구 광덕면 광덕리 650-10,광덕1리마을회관,2018,사각정자,정원녹지과
117,충청남도 천안시 동남구 북면 오곡리 192,오곡2리경로당 위쪽,2018,육각정자,정원녹지과
118,충청남도 천안시 동남구 병천면 도원리 220-7,도원2리 경로당,2018,사각정자,정원녹지과
119,충청남도 천안시 동남구 북면 은지리 349,농로 옆(은지리 551 옆),2019,사각정자,정원녹지과
120,충청남도 천안시 동남구 성남면 용원리 452-4,용원3리경로회관,2019,육각정자,정원녹지과
121,충청남도 천안시 서북구 입장면 홍천리 418,마을회관,2020,사각정자,정원녹지과
122,충청남도 천안시 동남구 광덕면 대평리 367,대평리 322 옆,2020,사각정자,정원녹지과
123,충청남도 천안시 동남구 광덕면 지장리 393,지장리 281-1 앞 마을공터,2020,사각정자,정원녹지과
124,충청남도 천안시 동남구 수신면 신풍리 451-4,신풍2리신암경로회관,2020,육각정자,정원녹지과
125,충청남도 천안시 서북구 쌍용동 2106,동일파크밸리 앞 경관녹지,2020,팔각정자,정원녹지과
126,충청남도 천안시 동남구 성남면 석곡리 560-1,석곡리 369-1 앞 수목 옆,2022,사각정자,정원녹지과
127,충청남도 천안시 동남구 성남면 화성리 286,공달원마을회관,2022,육각정자,정원녹지과
128,충청남도 천안시 동남구 성남면 용원리 372-7,마을 공터,2022,육각정자,정원녹지과
129,충청남도 천안시 동남구 병천면 병천리 109-3,병천119안전센터 앞,2022,육각정자,정원녹지과
130,충청남도 천안시 동남구 병천면 가전리 430,가전2리경로당,2022,육각정자,정원녹지과
131,충청남도 천안시 동남구 동면 동산리 174,마을길 옆,2022,사각정자,정원녹지과
132,충청남도 천안시 동남구 광덕면 대평리 360,대평리 262-4번지 앞 수목 옆,2023,사각정자,정원녹지과
133,충청남도 천안시 서북구 성거읍 문덕리 20-3,마을 체육시설 옆,2023,사각퍼걸러,정원녹지과
134,충청남도 천안시 동남구 병천면 도원리 728,도원4리 경로당 옆,2024,사각정자,정원녹지과
135,충청남도 천안시 동남구 사직동 284-39,남산공원,2020,파고라(2개),공원관리1팀
