번호,인허가일자,영업상태명,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명
14,2006-12-08,영업/정상,,충청남도 천안시 동남구 신부동 354-1,충청남도 천안시 동남구 만남로 43 (신부동),,CGV천안터미널 2관
15,2006-12-08,영업/정상,,충청남도 천안시 동남구 신부동 354-1,충청남도 천안시 동남구 만남로 43 (신부동),,CGV천안터미널 5관
16,2006-12-08,영업/정상,,충청남도 천안시 동남구 신부동 354-1,충청남도 천안시 동남구 만남로 43 (신부동),,CGV천안터미널 4관
17,2006-12-08,영업/정상,,충청남도 천안시 동남구 신부동 354-1,충청남도 천안시 동남구 만남로 43 (신부동),,CGV천안터미널 3관
18,2006-12-08,영업/정상,,충청남도 천안시 동남구 신부동 354-1,충청남도 천안시 동남구 만남로 43 (신부동),,CGV천안터미널 6관
19,2007-04-02,영업/정상,,충청남도 천안시 동남구 대흥동 102-10 오렌지씨네스타 5층,"충청남도 천안시 동남구 명동길 47 (대흥동,오렌지씨네스타 5층)",,CGV천안 1관
20,2007-04-02,영업/정상,,충청남도 천안시 동남구 대흥동 102-10 오렌지씨네스타 5층,"충청남도 천안시 동남구 명동길 47 (대흥동,오렌지씨네스타 5층)",,CGV천안 2관
21,2007-04-02,영업/정상,,충청남도 천안시 동남구 대흥동 102-10 오렌지씨네스타 5층,"충청남도 천안시 동남구 명동길 47 (대흥동,오렌지씨네스타 5층)",,CGV천안 3관
22,2007-04-02,영업/정상,,충청남도 천안시 동남구 대흥동 102-10 오렌지씨네스타 5층,"충청남도 천안시 동남구 명동길 47 (대흥동,오렌지씨네스타 5층)",,CGV천안 4관
23,2007-04-02,영업/정상,,충청남도 천안시 동남구 대흥동 102-10 오렌지씨네스타 5층,"충청남도 천안시 동남구 명동길 47 (대흥동,오렌지씨네스타 5층)",,CGV천안 5관
24,2007-04-02,영업/정상,,충청남도 천안시 동남구 대흥동 102-10 오렌지씨네스타 5층,"충청남도 천안시 동남구 명동길 47 (대흥동,오렌지씨네스타 5층)",,CGV천안 6관
25,2007-04-02,영업/정상,,충청남도 천안시 동남구 대흥동 102-10 오렌지씨네스타 5층,"충청남도 천안시 동남구 명동길 47 (대흥동,오렌지씨네스타 5층)",,CGV천안 7관(CGV아트하우스)
26,2014-12-23,영업/정상,,충청남도 천안시 서북구 불당동 1289,"충청남도 천안시 서북구 공원로 196, 6층 (불당동)",31168,CGV천안펜타포트(IMAX관)
27,2014-12-23,영업/정상,,충청남도 천안시 서북구 불당동 1289,"충청남도 천안시 서북구 공원로 196, 6층 (불당동)",31168,CGV천안펜타포트(9관)
28,2014-12-23,영업/정상,,충청남도 천안시 서북구 불당동 1289,"충청남도 천안시 서북구 공원로 196, 6층 (불당동)",31168,CGV천안펜타포트10관
29,2014-12-23,영업/정상,,충청남도 천안시 서북구 불당동 1289,"충청남도 천안시 서북구 공원로 196, 6층 (불당동)",31168,CGV천안펜타포트(6관)
30,2014-12-23,영업/정상,,충청남도 천안시 서북구 불당동 1289,"충청남도 천안시 서북구 공원로 196, 6층 (불당동)",31168,CGV천안펜타포트(11관)
31,2016-06-02,영업/정상,,충청남도 천안시 동남구 문화동 101-2,"충청남도 천안시 동남구 중앙로 111 (문화동, 영상미디어센터)",31128,인디플러스 천안
32,2016-11-17,영업/정상,,충청남도 천안시 동남구 문화동 99-1,"충청남도 천안시 동남구 버들로 41, 지하1층 (문화동, 파리빌딩)",31128,천안인생극장
33,2006-12-08,영업/정상,,충청남도 천안시 동남구 신부동 354-1,충청남도 천안시 동남구 만남로 43 (신부동),,CGV천안터미널 10관
34,2006-12-08,영업/정상,,충청남도 천안시 동남구 신부동 354-1,충청남도 천안시 동남구 만남로 43 (신부동),,CGV천안터미널 9관
35,2006-12-08,영업/정상,,충청남도 천안시 동남구 신부동 354-1,충청남도 천안시 동남구 만남로 43 (신부동),,CGV천안터미널 7관
36,2006-12-08,영업/정상,,충청남도 천안시 동남구 신부동 354-1,충청남도 천안시 동남구 만남로 43 (신부동),,CGV천안터미널 8관
37,2005-07-26,영업/정상,,충청남도 천안시 서북구 두정동 68-1 센트하임 4층,"충청남도 천안시 서북구 1공단1길 52, 4층 (두정동, 센트하임프라자)",31104,주식회사 트리스타 메가박스 천안(제1관)
38,2005-07-26,영업/정상,,충청남도 천안시 서북구 두정동 68-1 센트하임 4층,"충청남도 천안시 서북구 1공단1길 52, 4층 (두정동, 센트하임프라자)",31104,주식회사 트리스타 메가박스 천안(제2관)
39,2005-07-26,영업/정상,,충청남도 천안시 서북구 두정동 68-1 센트하임 4층,"충청남도 천안시 서북구 1공단1길 52, 4층 (두정동, 센트하임프라자)",31104,주식회사 트리스타 메가박스 천안(제3관)
40,2005-07-26,영업/정상,,충청남도 천안시 서북구 두정동 68-1 센트하임 4층,"충청남도 천안시 서북구 1공단1길 52, 4층 (두정동, 센트하임프라자)",31104,주식회사 트리스타 메가박스 천안(제4관)
41,2005-07-26,영업/정상,,충청남도 천안시 서북구 두정동 68-1 센트하임 4층,"충청남도 천안시 서북구 1공단1길 52, 4층 (두정동, 센트하임프라자)",31104,주식회사 트리스타 메가박스 천안(제5관)
42,2005-07-26,영업/정상,,충청남도 천안시 서북구 두정동 68-1 센트하임 4층,"충청남도 천안시 서북구 1공단1길 52, 4층 (두정동, 센트하임프라자)",31104,주식회사 트리스타 메가박스 천안(제6관)
43,2005-07-26,영업/정상,,충청남도 천안시 서북구 두정동 68-1 센트하임 4층,"충청남도 천안시 서북구 1공단1길 52, 4층 (두정동, 센트하임프라자)",31104,주식회사 트리스타 메가박스 천안(제7관)
44,2005-07-26,영업/정상,,충청남도 천안시 서북구 두정동 68-1 센트하임 4층,"충청남도 천안시 서북구 1공단1길 52, 4층 (두정동, 센트하임프라자)",31104,주식회사 트리스타 메가박스 천안(제8관)
45,2005-07-26,영업/정상,,충청남도 천안시 서북구 두정동 68-1 센트하임 4층,"충청남도 천안시 서북구 1공단1길 52, 4층 (두정동, 센트하임프라자)",31104,주식회사 트리스타 메가박스 천안(제9관)
