번호,인허가일자,영업상태명,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명
141,2003-09-08,폐업,320-070,충청남도 논산시 반월동 68-19,충청남도 논산시 해월로167번길 8 (반월동),,논산시네마5(5관)
142,2002-04-09,폐업,320-872,충청남도 논산시 연산면 임리 307-3번지,충청남도 논산시 연산면 계백로 1811-25,32913,황산벌자동차극장(1관)
143,2002-04-09,폐업,320-872,충청남도 논산시 연산면 임리 307-3번지,충청남도 논산시 연산면 계백로 1811-25,32913,황산벌자동차극장(2관)
144,2003-09-08,폐업,,충청남도 논산시 반월동 68-19,충청남도 논산시 해월로167번길 8 (반월동),,논산시네마5(1관)
145,2003-09-08,폐업,320-070,충청남도 논산시 반월동 68-19,충청남도 논산시 해월로167번길 8 (반월동),,논산시네마5(2관)
146,2020-09-09,영업/정상,,충청남도 논산시 내동 382-32,"충청남도 논산시 중앙로 255, 메가타운 3, 4층 (내동)",32983,메가박스 논산 제2관
147,2020-09-09,영업/정상,,충청남도 논산시 내동 382-32,"충청남도 논산시 중앙로 255, 메가타운 3, 4층 (내동)",32983,메가박스 논산 제3관
148,2020-09-09,영업/정상,,충청남도 논산시 내동 382-32,"충청남도 논산시 중앙로 255, 메가타운 3, 4층 (내동)",32983,메가박스 논산 제4관
149,2020-09-09,영업/정상,,충청남도 논산시 내동 382-32,"충청남도 논산시 중앙로 255, 메가타운 3, 4층 (내동)",32983,메가박스 논산 제5관
150,2020-09-09,영업/정상,,충청남도 논산시 내동 382-32,"충청남도 논산시 중앙로 255, 메가타운 3, 4층 (내동)",32983,메가박스 논산 제1관
151,2020-09-21,영업/정상,,충청남도 논산시 내동 452,"충청남도 논산시 시민로 181, CGV타워 3층 (내동)",32988,CGV논산 제1관
152,2020-09-21,영업/정상,,충청남도 논산시 내동 452,"충청남도 논산시 시민로 181, CGV타워 3층 (내동)",32988,CGV논산 제2관
153,2020-09-21,영업/정상,,충청남도 논산시 내동 452,"충청남도 논산시 시민로 181, CGV타워 4층 (내동)",32988,CGV논산 제3관
154,2020-09-21,영업/정상,,충청남도 논산시 내동 452,"충청남도 논산시 시민로 181, CGV타워 4층 (내동)",32988,CGV논산 제4관
155,2020-09-21,영업/정상,,충청남도 논산시 내동 452,"충청남도 논산시 시민로 181, CGV타워 4층 (내동)",32988,CGV논산 제5관
156,1991-09-30,폐업,312-806,충청남도 금산군 금산읍 중도리 492-1번지,충청남도 금산군 금산읍 금산천1길 81-19,,중앙극장
157,2004-06-21,폐업,312-841,충청남도 금산군 부리면 창평리 149-3,,,금산자동차극장
158,2022-04-29,영업/정상,,충청남도 금산군 금산읍 하옥리 334-24,충청남도 금산군 금산읍 비단로 91,32747,금산시네마 1관
159,2022-04-29,영업/정상,,충청남도 금산군 금산읍 하옥리 334-24,충청남도 금산군 금산읍 비단로 91,32747,금산시네마 2관
160,2018-06-15,취소/말소/만료/정지/중지,,충청남도 금산군 금산읍 하옥리 334-24,"충청남도 금산군 금산읍 비단로 91, 금산시네마",32747,금산시네마 1관
161,2018-06-15,취소/말소/만료/정지/중지,,충청남도 금산군 금산읍 하옥리 334-24,"충청남도 금산군 금산읍 비단로 91, 금산시네마",32747,금산시네마 2관
162,1991-09-09,영업/정상,,충청남도 부여군 부여읍 구아리 208-3번지 금성빌딩 4층,충청남도 부여군 부여읍 사비로100번길 12,33146,금성시네마
163,2005-01-26,영업/정상,,충청남도 부여군 부여읍 구아리 208-3번지 금성빌딩 4층,충청남도 부여군 부여읍 사비로100번길 12,33146,금성시네마
164,2017-01-13,영업/정상,,충청남도 부여군 부여읍 동남리 617,"충청남도 부여군 부여읍 계백로 305, 3층",33155,스타박스 1관
165,2017-01-13,영업/정상,,충청남도 부여군 부여읍 동남리 617,"충청남도 부여군 부여읍 계백로 305, 3층",33155,스타박스 2관
166,2002-03-14,폐업,325-813,충청남도 서천군 마서면 도삼리 69-1번지,충청남도 서천군 마서면 장산로855번길 37,33657,로드시네마 1관
167,2006-04-28,폐업,325-813,충청남도 서천군 마서면 도삼리 69-3번지,충청남도 서천군 마서면 장산로855번길 37,33657,로드시네마 2관
