현황도형 관리번호,라벨명,면적_도형,길이_도형
44130UQ155PS200508220024,청사(국가),1009.64,123.04
44130UQ155PS200812010852,초등학교,14343.29,473.02
44130UQ155PS200508220020,초등학교,13000.04,454.77
44130UQ155PS200201210001,초등학교,11450.57,424.01
44130UQ155PS199303170001,대학,205742.3687,2474.275532
44130UQ155PS201610111124,초등학교,14366.84237,485.0025377
44130UQ155PS202404110009,초등학교,15200.40317,474.2105442
44130UQ155PS199201130009,유치원,1215.107664,154.3067444
44130UQ155PS202406110118,유치원,4398.951938,279.7098546
44130UQ155PS202406110119,유치원,4013.938153,256.5146453
44130UQ155PS202406110120,초등학교,15016.50318,483.5189091
44130UQ155PS202406110121,초등학교,15220.11623,509.6296838
44130UQ155PS202406110122,중학교,16012.38503,513.0539937
44130UQ155PS202406110123,고등학교,18035.66088,570.2805725
44130UQ155PS202406110124,청사(국가),28724.10612,767.4752767
44130UQ155PS202106210015,기타체육시설,75379.93346,1877.776999
44130UQ155PS201903040018,청사(국가),1500.048983,163.3649179
44130UQ155PS200812010809,대학,567996.5432,5820.49573
