grid_id,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection
C00122,209000.000,452000.000,209500.000,452500.000,209250.000,452250.000,500,center_in_cheonan
C00123,209500.000,452000.000,210000.000,452500.000,209750.000,452250.000,500,center_in_cheonan
C00124,210000.000,452000.000,210500.000,452500.000,210250.000,452250.000,500,center_in_cheonan
C00125,210500.000,452000.000,211000.000,452500.000,210750.000,452250.000,500,center_in_cheonan
C00126,211000.000,452000.000,211500.000,452500.000,211250.000,452250.000,500,center_in_cheonan
C00127,211500.000,452000.000,212000.000,452500.000,211750.000,452250.000,500,center_in_cheonan
C00128,212000.000,452000.000,212500.000,452500.000,212250.000,452250.000,500,center_in_cheonan
C00129,212500.000,452000.000,213000.000,452500.000,212750.000,452250.000,500,center_in_cheonan
C00130,213000.000,452000.000,213500.000,452500.000,213250.000,452250.000,500,center_in_cheonan
C00131,213500.000,452000.000,214000.000,452500.000,213750.000,452250.000,500,center_in_cheonan
C00132,201500.000,452500.000,202000.000,453000.000,201750.000,452750.000,500,center_in_cheonan
C00133,202000.000,452500.000,202500.000,453000.000,202250.000,452750.000,500,center_in_cheonan
C00134,202500.000,452500.000,203000.000,453000.000,202750.000,452750.000,500,center_in_cheonan
C00135,203000.000,452500.000,203500.000,453000.000,203250.000,452750.000,500,center_in_cheonan
C00136,203500.000,452500.000,204000.000,453000.000,203750.000,452750.000,500,center_in_cheonan
C00137,204000.000,452500.000,204500.000,453000.000,204250.000,452750.000,500,center_in_cheonan
C00138,204500.000,452500.000,205000.000,453000.000,204750.000,452750.000,500,center_in_cheonan
C00139,205000.000,452500.000,205500.000,453000.000,205250.000,452750.000,500,center_in_cheonan
C00140,205500.000,452500.000,206000.000,453000.000,205750.000,452750.000,500,center_in_cheonan
C00141,206000.000,452500.000,206500.000,453000.000,206250.000,452750.000,500,center_in_cheonan
C00142,206500.000,452500.000,207000.000,453000.000,206750.000,452750.000,500,center_in_cheonan
C00143,207000.000,452500.000,207500.000,453000.000,207250.000,452750.000,500,center_in_cheonan
C00144,207500.000,452500.000,208000.000,453000.000,207750.000,452750.000,500,center_in_cheonan
C00145,208000.000,452500.000,208500.000,453000.000,208250.000,452750.000,500,center_in_cheonan
C00146,208500.000,452500.000,209000.000,453000.000,208750.000,452750.000,500,center_in_cheonan
C00147,209000.000,452500.000,209500.000,453000.000,209250.000,452750.000,500,center_in_cheonan
C00148,209500.000,452500.000,210000.000,453000.000,209750.000,452750.000,500,center_in_cheonan
C00149,210000.000,452500.000,210500.000,453000.000,210250.000,452750.000,500,center_in_cheonan
C00150,210500.000,452500.000,211000.000,453000.000,210750.000,452750.000,500,center_in_cheonan
C00151,211000.000,452500.000,211500.000,453000.000,211250.000,452750.000,500,center_in_cheonan
C00152,211500.000,452500.000,212000.000,453000.000,211750.000,452750.000,500,center_in_cheonan
C00153,212000.000,452500.000,212500.000,453000.000,212250.000,452750.000,500,center_in_cheonan
C00154,212500.000,452500.000,213000.000,453000.000,212750.000,452750.000,500,center_in_cheonan
C00155,213000.000,452500.000,213500.000,453000.000,213250.000,452750.000,500,center_in_cheonan
C00156,213500.000,452500.000,214000.000,453000.000,213750.000,452750.000,500,center_in_cheonan
C00157,202000.000,453000.000,202500.000,453500.000,202250.000,453250.000,500,center_in_cheonan
C00158,202500.000,453000.000,203000.000,453500.000,202750.000,453250.000,500,center_in_cheonan
C00159,203000.000,453000.000,203500.000,453500.000,203250.000,453250.000,500,center_in_cheonan
C00160,203500.000,453000.000,204000.000,453500.000,203750.000,453250.000,500,center_in_cheonan
C00161,204000.000,453000.000,204500.000,453500.000,204250.000,453250.000,500,center_in_cheonan
C00162,204500.000,453000.000,205000.000,453500.000,204750.000,453250.000,500,center_in_cheonan
C00163,205000.000,453000.000,205500.000,453500.000,205250.000,453250.000,500,center_in_cheonan
C00164,205500.000,453000.000,206000.000,453500.000,205750.000,453250.000,500,center_in_cheonan
C00165,206000.000,453000.000,206500.000,453500.000,206250.000,453250.000,500,center_in_cheonan
C00166,206500.000,453000.000,207000.000,453500.000,206750.000,453250.000,500,center_in_cheonan
C00167,207000.000,453000.000,207500.000,453500.000,207250.000,453250.000,500,center_in_cheonan
C00168,207500.000,453000.000,208000.000,453500.000,207750.000,453250.000,500,center_in_cheonan
C00169,208000.000,453000.000,208500.000,453500.000,208250.000,453250.000,500,center_in_cheonan
C00170,208500.000,453000.000,209000.000,453500.000,208750.000,453250.000,500,center_in_cheonan
C00171,209000.000,453000.000,209500.000,453500.000,209250.000,453250.000,500,center_in_cheonan
C00172,209500.000,453000.000,210000.000,453500.000,209750.000,453250.000,500,center_in_cheonan
C00173,210000.000,453000.000,210500.000,453500.000,210250.000,453250.000,500,center_in_cheonan
C00174,210500.000,453000.000,211000.000,453500.000,210750.000,453250.000,500,center_in_cheonan
C00175,211000.000,453000.000,211500.000,453500.000,211250.000,453250.000,500,center_in_cheonan
C00176,211500.000,453000.000,212000.000,453500.000,211750.000,453250.000,500,center_in_cheonan
C00177,212000.000,453000.000,212500.000,453500.000,212250.000,453250.000,500,center_in_cheonan
C00178,212500.000,453000.000,213000.000,453500.000,212750.000,453250.000,500,center_in_cheonan
C00179,213000.000,453000.000,213500.000,453500.000,213250.000,453250.000,500,center_in_cheonan
C00180,213500.000,453000.000,214000.000,453500.000,213750.000,453250.000,500,center_in_cheonan
C00181,214000.000,453000.000,214500.000,453500.000,214250.000,453250.000,500,center_in_cheonan
C00182,202000.000,453500.000,202500.000,454000.000,202250.000,453750.000,500,center_in_cheonan
C00183,202500.000,453500.000,203000.000,454000.000,202750.000,453750.000,500,center_in_cheonan
C00184,203000.000,453500.000,203500.000,454000.000,203250.000,453750.000,500,center_in_cheonan
C00185,203500.000,453500.000,204000.000,454000.000,203750.000,453750.000,500,center_in_cheonan
C00186,204000.000,453500.000,204500.000,454000.000,204250.000,453750.000,500,center_in_cheonan
C00187,204500.000,453500.000,205000.000,454000.000,204750.000,453750.000,500,center_in_cheonan
C00188,205000.000,453500.000,205500.000,454000.000,205250.000,453750.000,500,center_in_cheonan
C00189,205500.000,453500.000,206000.000,454000.000,205750.000,453750.000,500,center_in_cheonan
C00190,206000.000,453500.000,206500.000,454000.000,206250.000,453750.000,500,center_in_cheonan
C00191,206500.000,453500.000,207000.000,454000.000,206750.000,453750.000,500,center_in_cheonan
C00192,207000.000,453500.000,207500.000,454000.000,207250.000,453750.000,500,center_in_cheonan
C00193,207500.000,453500.000,208000.000,454000.000,207750.000,453750.000,500,center_in_cheonan
C00194,208000.000,453500.000,208500.000,454000.000,208250.000,453750.000,500,center_in_cheonan
C00195,208500.000,453500.000,209000.000,454000.000,208750.000,453750.000,500,center_in_cheonan
C00196,209000.000,453500.000,209500.000,454000.000,209250.000,453750.000,500,center_in_cheonan
C00197,209500.000,453500.000,210000.000,454000.000,209750.000,453750.000,500,center_in_cheonan
C00198,210000.000,453500.000,210500.000,454000.000,210250.000,453750.000,500,center_in_cheonan
C00199,210500.000,453500.000,211000.000,454000.000,210750.000,453750.000,500,center_in_cheonan
C00200,211000.000,453500.000,211500.000,454000.000,211250.000,453750.000,500,center_in_cheonan
C00201,211500.000,453500.000,212000.000,454000.000,211750.000,453750.000,500,center_in_cheonan
C00202,212000.000,453500.000,212500.000,454000.000,212250.000,453750.000,500,center_in_cheonan
C00203,212500.000,453500.000,213000.000,454000.000,212750.000,453750.000,500,center_in_cheonan
C00204,213000.000,453500.000,213500.000,454000.000,213250.000,453750.000,500,center_in_cheonan
C00205,213500.000,453500.000,214000.000,454000.000,213750.000,453750.000,500,center_in_cheonan
C00206,214000.000,453500.000,214500.000,454000.000,214250.000,453750.000,500,center_in_cheonan
C00207,202500.000,454000.000,203000.000,454500.000,202750.000,454250.000,500,center_in_cheonan
C00208,203000.000,454000.000,203500.000,454500.000,203250.000,454250.000,500,center_in_cheonan
C00209,203500.000,454000.000,204000.000,454500.000,203750.000,454250.000,500,center_in_cheonan
C00210,204000.000,454000.000,204500.000,454500.000,204250.000,454250.000,500,center_in_cheonan
C00211,204500.000,454000.000,205000.000,454500.000,204750.000,454250.000,500,center_in_cheonan
C00212,205000.000,454000.000,205500.000,454500.000,205250.000,454250.000,500,center_in_cheonan
C00213,205500.000,454000.000,206000.000,454500.000,205750.000,454250.000,500,center_in_cheonan
C00214,206000.000,454000.000,206500.000,454500.000,206250.000,454250.000,500,center_in_cheonan
C00215,206500.000,454000.000,207000.000,454500.000,206750.000,454250.000,500,center_in_cheonan
C00216,207000.000,454000.000,207500.000,454500.000,207250.000,454250.000,500,center_in_cheonan
C00217,207500.000,454000.000,208000.000,454500.000,207750.000,454250.000,500,center_in_cheonan
C00218,208000.000,454000.000,208500.000,454500.000,208250.000,454250.000,500,center_in_cheonan
C00219,208500.000,454000.000,209000.000,454500.000,208750.000,454250.000,500,center_in_cheonan
C00220,209000.000,454000.000,209500.000,454500.000,209250.000,454250.000,500,center_in_cheonan
C00221,209500.000,454000.000,210000.000,454500.000,209750.000,454250.000,500,center_in_cheonan
C00222,210000.000,454000.000,210500.000,454500.000,210250.000,454250.000,500,center_in_cheonan
