grid_id,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection,center_adm_cd,center_adm_nm
C00155,208500.0,456750.0,209250.0,457500.0,208875.0,457125.0,750,center_in_cheonan,34011320,광덕면
C00156,209250.0,456750.0,210000.0,457500.0,209625.0,457125.0,750,center_in_cheonan,34011320,광덕면
C00157,210000.0,456750.0,210750.0,457500.0,210375.0,457125.0,750,center_in_cheonan,34011320,광덕면
C00158,210750.0,456750.0,211500.0,457500.0,211125.0,457125.0,750,center_in_cheonan,34011320,광덕면
C00159,211500.0,456750.0,212250.0,457500.0,211875.0,457125.0,750,center_in_cheonan,34011310,풍세면
C00160,219750.0,456750.0,220500.0,457500.0,220125.0,457125.0,750,center_in_cheonan,34011340,성남면
C00161,220500.0,456750.0,221250.0,457500.0,220875.0,457125.0,750,center_in_cheonan,34011340,성남면
C00162,221250.0,456750.0,222000.0,457500.0,221625.0,457125.0,750,center_in_cheonan,34011340,성남면
C00163,222000.0,456750.0,222750.0,457500.0,222375.0,457125.0,750,center_in_cheonan,34011340,성남면
C00164,222750.0,456750.0,223500.0,457500.0,223125.0,457125.0,750,center_in_cheonan,34011340,성남면
C00165,223500.0,456750.0,224250.0,457500.0,223875.0,457125.0,750,center_in_cheonan,34011350,수신면
C00166,224250.0,456750.0,225000.0,457500.0,224625.0,457125.0,750,center_in_cheonan,34011350,수신면
C00167,225000.0,456750.0,225750.0,457500.0,225375.0,457125.0,750,center_in_cheonan,34011350,수신면
C00168,225750.0,456750.0,226500.0,457500.0,226125.0,457125.0,750,center_in_cheonan,34011350,수신면
C00169,226500.0,456750.0,227250.0,457500.0,226875.0,457125.0,750,center_in_cheonan,34011350,수신면
C00170,207000.0,457500.0,207750.0,458250.0,207375.0,457875.0,750,center_in_cheonan,34011320,광덕면
C00171,207750.0,457500.0,208500.0,458250.0,208125.0,457875.0,750,center_in_cheonan,34011320,광덕면
C00172,208500.0,457500.0,209250.0,458250.0,208875.0,457875.0,750,center_in_cheonan,34011310,풍세면
C00173,209250.0,457500.0,210000.0,458250.0,209625.0,457875.0,750,center_in_cheonan,34011310,풍세면
C00174,210000.0,457500.0,210750.0,458250.0,210375.0,457875.0,750,center_in_cheonan,34011310,풍세면
C00175,210750.0,457500.0,211500.0,458250.0,211125.0,457875.0,750,center_in_cheonan,34011310,풍세면
C00176,211500.0,457500.0,212250.0,458250.0,211875.0,457875.0,750,center_in_cheonan,34011310,풍세면
C00177,212250.0,457500.0,213000.0,458250.0,212625.0,457875.0,750,center_in_cheonan,34011310,풍세면
C00178,218250.0,457500.0,219000.0,458250.0,218625.0,457875.0,750,center_in_cheonan,34011340,성남면
C00179,219000.0,457500.0,219750.0,458250.0,219375.0,457875.0,750,center_in_cheonan,34011340,성남면
C00180,219750.0,457500.0,220500.0,458250.0,220125.0,457875.0,750,center_in_cheonan,34011340,성남면
C00181,220500.0,457500.0,221250.0,458250.0,220875.0,457875.0,750,center_in_cheonan,34011340,성남면
C00182,221250.0,457500.0,222000.0,458250.0,221625.0,457875.0,750,center_in_cheonan,34011340,성남면
C00183,222000.0,457500.0,222750.0,458250.0,222375.0,457875.0,750,center_in_cheonan,34011340,성남면
C00184,222750.0,457500.0,223500.0,458250.0,223125.0,457875.0,750,center_in_cheonan,34011340,성남면
C00185,223500.0,457500.0,224250.0,458250.0,223875.0,457875.0,750,center_in_cheonan,34011350,수신면
C00186,224250.0,457500.0,225000.0,458250.0,224625.0,457875.0,750,center_in_cheonan,34011350,수신면
C00187,225000.0,457500.0,225750.0,458250.0,225375.0,457875.0,750,center_in_cheonan,34011350,수신면
C00188,225750.0,457500.0,226500.0,458250.0,226125.0,457875.0,750,center_in_cheonan,34011350,수신면
C00189,226500.0,457500.0,227250.0,458250.0,226875.0,457875.0,750,center_in_cheonan,34011350,수신면
C00190,207750.0,458250.0,208500.0,459000.0,208125.0,458625.0,750,center_in_cheonan,34011310,풍세면
C00191,208500.0,458250.0,209250.0,459000.0,208875.0,458625.0,750,center_in_cheonan,34011310,풍세면
C00192,209250.0,458250.0,210000.0,459000.0,209625.0,458625.0,750,center_in_cheonan,34011310,풍세면
C00193,210000.0,458250.0,210750.0,459000.0,210375.0,458625.0,750,center_in_cheonan,34011310,풍세면
C00194,210750.0,458250.0,211500.0,459000.0,211125.0,458625.0,750,center_in_cheonan,34011310,풍세면
C00195,211500.0,458250.0,212250.0,459000.0,211875.0,458625.0,750,center_in_cheonan,34011310,풍세면
C00196,212250.0,458250.0,213000.0,459000.0,212625.0,458625.0,750,center_in_cheonan,34011310,풍세면
C00197,213000.0,458250.0,213750.0,459000.0,213375.0,458625.0,750,center_in_cheonan,34011310,풍세면
C00198,218250.0,458250.0,219000.0,459000.0,218625.0,458625.0,750,center_in_cheonan,34011340,성남면
C00199,219000.0,458250.0,219750.0,459000.0,219375.0,458625.0,750,center_in_cheonan,34011340,성남면
C00200,219750.0,458250.0,220500.0,459000.0,220125.0,458625.0,750,center_in_cheonan,34011340,성남면
C00201,220500.0,458250.0,221250.0,459000.0,220875.0,458625.0,750,center_in_cheonan,34011340,성남면
C00202,221250.0,458250.0,222000.0,459000.0,221625.0,458625.0,750,center_in_cheonan,34011340,성남면
C00203,222000.0,458250.0,222750.0,459000.0,222375.0,458625.0,750,center_in_cheonan,34011340,성남면
C00204,222750.0,458250.0,223500.0,459000.0,223125.0,458625.0,750,center_in_cheonan,34011340,성남면
C00205,223500.0,458250.0,224250.0,459000.0,223875.0,458625.0,750,center_in_cheonan,34011350,수신면
C00206,224250.0,458250.0,225000.0,459000.0,224625.0,458625.0,750,center_in_cheonan,34011350,수신면
