address_key,provider,status,matched_query,lon,lat,score_or_type,raw_name,message
충청남도 천안시 동남구 광덕면 신흥리3길 33,gimi9,ok,충청남도 천안시 동남구 광덕면 신흥리3길 33,127.11118921012832,36.69859691003858,도로명 주소,광덕면,
충청남도 천안시 동남구 광덕면 신흥리3길 36,gimi9,ok,충청남도 천안시 동남구 광덕면 신흥리3길 36,127.10934190459184,36.69862692228418,도로명 주소,광덕면,
충청남도 천안시 동남구 광덕면 원덕리 440-1,gimi9,ok,충청남도 천안시 동남구 광덕면 원덕리 440-1,127.13472310392125,36.65313733353858,도로명 주소,광덕면,
충청남도 천안시 동남구 광덕면 지장리 393,gimi9,ok,충청남도 천안시 동남구 광덕면 지장리 393,127.07902779346566,36.64903204125712,지번 주소,광덕면,
충청남도 천안시 동남구 광덕면 차령로 4267,gimi9,ok,충청남도 천안시 동남구 광덕면 차령로 4267,127.1351286843811,36.666769095650906,도로명 주소,광덕면,
"충청남도 천안시 동남구 광풍로 1822, 6층 (청당동, 아이지타워)",gimi9,ok,"충청남도 천안시 동남구 광풍로 1822, 6층 (청당동, 아이지타워)",127.14624291831278,36.78102915786992,도로명 주소,청룡동,
충청남도 천안시 동남구 광풍로 1828 (청당동),gimi9,ok,충청남도 천안시 동남구 광풍로 1828 (청당동),127.14572566711512,36.78140623651316,도로명 주소,청룡동,
충청남도 천안시 동남구 구룡동 564-4,gimi9,not_found,충청남도 천안시 동남구 구룡동 564-4,127.1398483436581,36.77526759576085,인근 지번 주소,청룡동,인근 지번 주소: 564-3
충청남도 천안시 동남구 구룡동 599-1,gimi9,ok,충청남도 천안시 동남구 구룡동 599-1,127.13815316422397,36.76638294587637,지번 주소,청룡동,
"충청남도 천안시 동남구 구성10길 17, 1층 (구성동)",gimi9,ok,"충청남도 천안시 동남구 구성10길 17, 1층 (구성동)",127.16368478831612,36.79550327910894,도로명 주소,청룡동,
충청남도 천안시 동남구 구성1길 10(구성동),gimi9,ok,충청남도 천안시 동남구 구성1길 10(구성동),127.16030031734176,36.79535844071245,도로명 주소,청룡동,
충청남도 천안시 동남구 구성5길 31(구성동),gimi9,ok,충청남도 천안시 동남구 구성5길 31(구성동),127.162724172396,36.79729448330002,도로명 주소,청룡동,
충청남도 천안시 동남구 구성동 435-1,gimi9,ok,충청남도 천안시 동남구 구성동 435-1,127.1622860678244,36.797509592800346,지번 주소,청룡동,
충청남도 천안시 동남구 다가13길 7 (다가동),gimi9,ok,충청남도 천안시 동남구 다가13길 7 (다가동),127.14197642919828,36.80199359277047,도로명 주소,일봉동,
충청남도 천안시 동남구 다가2길 3,gimi9,ok,충청남도 천안시 동남구 다가2길 3,127.13857105153868,36.79908957996547,도로명 주소,일봉동,
충청남도 천안시 동남구 다가2길 39 (다가동),gimi9,ok,충청남도 천안시 동남구 다가2길 39 (다가동),127.14011569411848,36.801969947520696,도로명 주소,일봉동,
충청남도 천안시 동남구 다가4길 4-3 (다가동),gimi9,ok,충청남도 천안시 동남구 다가4길 4-3 (다가동),127.14169929508309,36.79891875130277,도로명 주소,일봉동,
충청남도 천안시 동남구 다가8길 26 (다가동),gimi9,ok,충청남도 천안시 동남구 다가8길 26 (다가동),127.13976445507636,36.80037328558095,도로명 주소,일봉동,
충청남도 천안시 동남구 다가동 377-1,gimi9,ok,충청남도 천안시 동남구 다가동 377-1,127.13588963267738,36.79958622362963,지번 주소,일봉동,
충청남도 천안시 동남구 다가동 391-1,gimi9,ok,충청남도 천안시 동남구 다가동 391-1,127.1412688850614,36.79987301045929,지번 주소,일봉동,
충청남도 천안시 동남구 다가동 409-9,gimi9,ok,충청남도 천안시 동남구 다가동 409-9,127.13820623151597,36.79800670859724,지번 주소,일봉동,
충청남도 천안시 동남구 다가동 462-45,gimi9,ok,충청남도 천안시 동남구 다가동 462-45,127.1507238645691,36.79624118863903,지번 주소,일봉동,
충청남도 천안시 동남구 다가동 565번지,gimi9,ok,충청남도 천안시 동남구 다가동 565번지,127.1443588141362,36.803145604979385,지번 주소,일봉동,
"충청남도 천안시 동남구 다가말2길 86-1, 지하1,지상1,2층 (다가동)",gimi9,ok,"충청남도 천안시 동남구 다가말2길 86-1, 지하1,지상1,2층 (다가동)",127.14140630904208,36.79684449035593,도로명 주소,일봉동,
"충청남도 천안시 동남구 다가말4길 44, 102호 (다가동)",gimi9,ok,"충청남도 천안시 동남구 다가말4길 44, 102호 (다가동)",127.14004314388184,36.79830976667514,도로명 주소,일봉동,
충청남도 천안시 동남구 단대로 119-11(신부동),gimi9,ok,충청남도 천안시 동남구 단대로 119-11(신부동),127.16401944947346,36.831788267898645,도로명 주소,신안동,
충청남도 천안시 동남구 단대로 21-7,gimi9,ok,충청남도 천안시 동남구 단대로 21-7,127.15413083815292,36.82627901050229,도로명 주소,신안동,
충청남도 천안시 동남구 단대로 69,gimi9,ok,충청남도 천안시 동남구 단대로 69,127.15630945580604,36.83057629854834,도로명 주소,신안동,
충청남도 천안시 동남구 단대로71,gimi9,ok,충청남도 천안시 동남구 단대로71,127.1600396314213,36.83150651593685,도로명 주소,신안동,
충청남도 천안시 동남구 대흥로 127 (사직동),gimi9,ok,충청남도 천안시 동남구 대흥로 127 (사직동),127.1485184355037,36.80054371268415,도로명 주소,중앙동,
"충청남도 천안시 동남구 대흥로 127 (사직동,1층)",gimi9,ok,"충청남도 천안시 동남구 대흥로 127 (사직동,1층)",127.1485184355037,36.80054371268415,도로명 주소,중앙동,
충청남도 천안시 동남구 대흥로 132-2(사직동),gimi9,ok,충청남도 천안시 동남구 대흥로 132-2(사직동),127.14853933055596,36.800877317758,도로명 주소,중앙동,
충청남도 천안시 동남구 대흥로 215 백자빌딩 102호(대흥동),gimi9,ok,충청남도 천안시 동남구 대흥로 215 백자빌딩 102호(대흥동),127.14715331612187,36.80733673874035,도로명 주소,중앙동,
"충청남도 천안시 동남구 대흥로 251 (대흥동,화성빌딩 1층)",gimi9,ok,"충청남도 천안시 동남구 대흥로 251 (대흥동,화성빌딩 1층)",127.14826018563804,36.81044106475191,도로명 주소,중앙동,
"충청남도 천안시 동남구 대흥로 251, 2층 (대흥동)",gimi9,ok,"충청남도 천안시 동남구 대흥로 251, 2층 (대흥동)",127.14826018563804,36.81044106475191,도로명 주소,중앙동,
충청남도 천안시 동남구 대흥로 271(대흥동),gimi9,ok,충청남도 천안시 동남구 대흥로 271(대흥동),127.1487670790582,36.81237170193803,도로명 주소,중앙동,
충청남도 천안시 동남구 대흥로 285 (성황동),gimi9,ok,충청남도 천안시 동남구 대흥로 285 (성황동),127.14916550203668,36.81350872594467,도로명 주소,문성동,
